Id,HotelValue
893,151018.71569498567
1106,325029.409740718
414,106929.95852687531
523,155285.7798880449
1037,310319.89210206835
615,82723.94651648856
219,246316.20069533767
1161,138924.28596339072
650,81700.29873142725
888,146383.35664385816
577,143658.94684413436
1253,120475.13020914327
1062,109582.31945980592
568,196115.7367671227
1109,173239.56863691797
1114,131142.026918922
169,190966.89515209786
1103,127696.46298152891
1121,115376.22189006089
68,210185.88001016143
1041,147257.71456064965
454,202932.6596660063
671,171939.87957542948
1095,132060.9722371433
193,193011.84235550143
124,156149.19384753375
416,188871.5148932947
278,112829.05390234446
434,178461.40838569144
1318,201316.99785634584
185,134419.81583461308
555,260944.54134966503
1174,195106.72017205216
77,117582.98393688617
907,256573.83178004972
675,148122.21121798822
1399,144215.01488231748
375,204611.90081922122
1033,336252.79312549665
260,108639.40521868241
52,131732.22941027064
245,225128.47972354683
1102,116620.35224047113
582,324525.7645590524
680,124596.84748165851
1133,123866.69249127444
1221,105539.0742195401
50,128445.70457484595
592,491766.4121871
1270,135714.87404815468
1250,121573.77482020532
1139,197762.81231667916
491,112951.80727629583
1025,302337.8645173686
812,158839.28467853175
142,237549.78734979508
847,207757.0794442254
926,159953.2170066788
773,134656.11357960393
533,99733.25563983907
30,80593.19795344461
1300,162648.00439966886
66,300779.0135552821
766,260133.6652486762
1348,307746.4126468723
176,195973.68948962737
395,115613.02973916807
620,333090.59161129635
1132,118205.11061760927
116,167271.1692638647
895,116164.36558132482
1222,123112.45152474259
428,112401.9719328082
737,83655.1093351351
899,504769.57189953286
683,171070.43909823778
991,299938.19581425225
719,305173.3714666858
45,147596.41727619973
60,121312.94927417772
364,115394.06105736757
399,73759.81142438515
423,115744.63224234123
495,102094.61993489161
417,156956.66607930796
585,125854.00686238513
271,266776.3008965213
352,192669.2402244269
1079,142663.32744072116
1345,195982.77736161806
837,137859.85849484865
644,146108.14469681267
275,129940.90850743216
323,284877.12243605364
79,112666.81425889977
923,182095.21514738584
276,164591.8754127791
1266,177168.82693914347
221,199494.61803769294
317,260216.58477470157
1007,160474.17536753442
1241,203771.05145997382
71,286241.16782410827
16,135825.2074983262
1165,207942.9379796139
1321,165522.7991378848
755,157088.11253499152
721,265626.1821387472
1048,144698.58979709866
629,177973.69630427402
637,53767.70309217101
465,115577.54146828127
856,144193.52884852313
1398,135163.2170548816
383,197369.1444298268
1429,120261.70367447314
789,109828.88378310035
1341,121972.12647448496
1217,121229.93853725783
333,308598.83075278695
544,137965.74017516917
204,143175.91163637702
1135,176832.4954621485
1415,178538.99513566025
430,187841.42383481516
1273,132606.29032587563
747,226119.85798571078
590,101895.4021280357
839,149749.22170643572
1294,189922.558062163
591,188756.4322422233
586,348136.44643744704
1202,195137.89896219803
199,117888.5274706227
917,74638.64015683396
995,356411.2333396296
1229,342343.4013639608
44,133790.34068714018
1034,231615.47315501518
692,925599.5524169473
232,361640.9898410928
527,135689.28694039024
102,165825.64875323034
1093,169413.70825500682
412,136612.30360326782
1393,126037.64123176865
908,228452.15711562696
783,191024.3901674704
953,128928.46840160407
621,73571.07781782922
670,117392.88778810152
129,140407.789821483
530,258771.60865595628
911,154412.27577311322
999,83581.77109332639
1451,123661.06034142282
1164,125891.26077686192
248,138398.98759551081
529,96282.16046448707
734,134202.53538808125
33,192285.01367011815
635,127830.43751311873
1028,307321.4582898033
1054,142485.49733736573
576,112839.7385169714
844,118557.3205130482
298,233008.10989898915
262,332711.1066825689
1047,516169.68502112274
940,224460.0722646232
310,367048.47307993803
164,95640.72666094785
1010,109518.23771357964
600,150129.83331207113
1176,322045.2610988352
372,115853.81266511766
240,120846.17897481583
882,210996.82113296338
1334,126139.21497025825
1359,160336.717261692
1157,202774.89515542946
813,95081.72944037372
1332,131242.18217467904
426,136230.86383953324
1055,262731.5303427393
64,133376.9875950321
818,270423.39307784894
1395,226204.71871211636
1307,201958.25803676478
916,88991.66638734045
433,115236.37447425796
694,103212.3668479838
967,139775.1241958479
1171,150389.60029900368
1043,186678.97080209648
608,171049.62344502343
1090,198361.14979810294
31,92971.77864438263
57,198151.08171278192
1179,129539.26700050743
452,229738.10846011073
559,212724.94761920907
366,118468.70892225398
424,314105.5586605726
959,192475.021280699
807,134665.22125767355
1134,238633.9178826191
980,135994.01497671573
355,144634.71984752722
1357,115803.07917072548
307,230061.90795482413
797,139496.90538948274
100,110496.0050602553
756,163860.36301808676
272,211752.91881501302
241,253693.81167483865
598,202150.829665354
947,140002.45515030666
359,114199.35957983257
985,122961.71118933908
778,133800.456804274
708,214883.92286526447
599,208850.3930044935
875,96887.35283308163
931,211899.46828255843
340,143089.4306686183
1280,99051.52631252985
1433,108522.67474394027
1042,167736.32479373214
712,106910.6768541732
1050,100750.57226322017
311,171146.87769699848
572,113863.51454877027
918,135464.3747746539
603,227429.49382397218
290,136708.63999280578
429,189601.21636252335
1086,157712.56143171026
209,241661.33473049288
681,130428.66773464004
354,113520.6913391109
325,260259.9090002143
238,222551.3065452855
59,538539.4256414416
1160,180587.45253409597
536,131342.69696289705
368,147694.2987277095
696,173586.8236036827
24,143483.69733908752
108,96041.56059655294
1431,181930.7926308724
1019,164539.95309244707
362,130680.06489138136
1002,95728.00618891176
539,133912.1983131111
1422,137259.41327332906
1178,117407.28240381848
1292,115750.46381653556
782,167175.89650037207
1448,262928.69056952506
