Id,HotelValue
893,151295.20568983286
1106,333794.09423587786
414,104401.76403946344
523,151874.0636529054
1037,313749.7425183188
615,82660.69514885281
219,241641.12981164665
1161,139359.9702470406
650,81423.32223954391
888,146620.01305989464
577,143076.40312834596
1253,120638.80082222728
1062,111846.69441640163
568,196255.11072003315
1109,173581.3312254923
1114,131001.24303758927
169,191222.38524340233
1103,127808.36389761936
1121,116839.71667388552
68,210646.67252902963
1041,146563.60426214014
454,206168.05958106043
671,172981.0225799219
1095,132767.8576640943
193,196322.27047271997
124,156573.35333652803
416,187838.75500339785
278,110622.23243524949
434,179825.87192968215
1318,198887.45211449388
185,133960.81073364464
555,261122.5140704547
1174,194990.74731127248
77,117404.13342761876
907,257505.01659926574
675,149893.96263847273
1399,143642.66877877415
375,202320.80540222925
1033,333634.3489213141
260,110675.49710943877
52,130803.57576342463
245,222200.40650106512
1102,116535.46343882862
582,348010.257145836
680,124273.8392816043
1133,124447.38684769004
1221,105876.12270923336
50,130651.046352849
592,490229.16250285675
1270,137169.90254126696
1250,121326.88793391036
1139,202215.47239181283
491,115256.49935832036
1025,305567.2673350255
812,157218.97019092
142,240952.11145804843
847,205341.9682917817
926,160443.0599852382
773,136219.54331715897
533,101961.42290658201
30,80282.69580833135
1300,164555.7471037169
66,300591.4860454349
766,262389.7368449064
1348,304788.5682755948
176,197214.2462744743
395,114941.8322611653
620,333448.06603247114
1132,118920.43449619257
116,164858.79182066786
895,115118.06706982845
1222,124158.70519321179
428,113731.06573346625
737,82387.04546027852
899,502512.32508359576
683,168277.65447278164
991,302125.49753686757
719,311030.48939572775
45,148258.34604563413
60,122725.59024130947
364,116255.07299377788
399,74609.95999457804
423,115053.18307612286
495,102861.19166013956
417,155105.52123269503
585,126276.67213082129
271,272929.6682473071
352,190454.40392416643
1079,140871.6357964294
1345,194241.99831984474
837,141331.15758664568
644,144809.88813917318
275,130573.08784148651
323,286007.0975808206
79,113057.66613715743
923,180852.2486665113
276,167893.68388591925
1266,177720.716228769
221,202101.84781034844
317,258044.94653570934
1007,158809.3578592949
1241,203839.1570138074
71,283746.5476533725
16,136757.43708410923
1165,209715.70682384918
1321,163088.99393038184
755,153545.2344473664
721,264945.4812214444
1048,146861.05754332102
629,179042.50515981793
637,54019.73653540615
465,115907.31172467789
856,144408.2028721293
1398,136259.9351106328
383,200121.20222415336
1429,120804.16330834098
789,110639.23498499038
1341,110682.13303575144
1217,121878.83149657903
333,310371.41447806975
544,141984.08316860083
204,141267.09751166377
1135,178154.76496836153
1415,175327.5202747753
430,188665.8888085357
1273,133259.20959265466
747,229003.60045420867
590,101833.56328148152
839,153135.6539740658
1294,190290.57018730982
591,188123.71303033544
586,349760.34373538906
1202,195754.4788280555
199,117366.49130032017
917,74262.53788942244
995,356013.9380621191
1229,350004.09181618236
44,134855.190510488
1034,232134.8896352904
692,918903.8448159413
232,360804.66718782706
527,136277.356705909
102,165002.73985791195
1093,169956.18521860833
412,137196.3651521849
1393,125944.72841536875
908,228370.0652335168
783,192488.01230751775
953,131872.4765618761
621,72919.19343464579
670,118035.2272140887
129,137409.5349171974
530,258579.58602992137
911,152437.08792233226
999,83644.91395857662
1451,125718.30041663244
1164,123527.65665462811
248,136022.2970066104
529,96060.9247639365
734,134173.91984761338
33,190776.97189435357
635,126878.4276761657
1028,305837.1998462007
1054,145285.4485432109
576,113418.34567506103
844,119676.21570869598
298,231507.22315994446
262,332614.6661430537
1047,512243.8554776017
940,226528.36319861023
310,359447.42750136636
164,95233.35232674927
1010,108516.37371290289
600,148999.70351387118
1176,324232.835411415
372,117211.62427363097
240,120182.08552737856
882,207747.08683902337
1334,127009.81044815351
1359,158516.80192375302
1157,201404.37974636306
813,93669.014839121
1332,130546.34155393305
426,136455.45461601354
1055,265480.4630503807
64,131369.118656661
818,271710.8683296658
1395,223534.43286108162
1307,201175.50448291918
916,90033.12105004257
433,113159.01979676454
694,104204.61710944917
967,139547.0490383373
1171,153720.01876894647
1043,188897.68359430096
608,171715.28850848562
1090,198678.44750106375
31,92673.26532928836
57,197217.47535002208
1179,129463.99771775422
452,232058.70528652772
559,213306.8182071079
366,121975.05197267045
424,309630.5908635904
959,191587.81473565107
807,138042.45028061862
1134,236592.78795985176
980,133517.66156891437
355,144730.68135609382
1357,115591.94135060225
307,226011.04887897518
797,139373.26686819337
100,110321.12831195917
756,162064.51631846235
272,208998.7272157322
241,260057.4835910673
598,200235.00834634536
947,149904.56188946072
359,115144.38948840408
985,123563.29541091522
778,130688.64781258852
708,216562.8375310414
599,212267.92039277527
875,96860.41508347102
931,207038.03751578488
340,144173.58179347927
1280,96183.57126056912
1433,109296.32698721086
1042,166205.3755136406
712,107874.41959186955
1050,101984.66871239817
311,171244.71589978333
572,115250.57238541787
918,135055.95857914258
603,227331.93073699175
290,138986.27002563234
429,191162.49296562542
1086,157889.50915022742
209,239617.24046537396
681,131825.86131988806
354,111692.43491185845
325,262040.8242167127
238,219598.617420687
59,525990.198521642
1160,179823.90705543276
536,130943.70587694563
368,149365.20557778951
696,174354.83389417714
24,143530.47199947774
108,96003.46889547085
1431,180849.87916634465
1019,164089.82609947433
362,130387.10887867211
1002,96093.87418189585
539,136115.72036788685
1422,135903.81867090234
1178,117229.76710435282
1292,116544.38184873403
782,165925.40192290343
1448,262949.65184629353
