Id,HotelValue
893,148927.37075554844
1106,335341.6418772813
414,106841.68857379028
523,155987.31969460484
1037,299686.77942936606
615,82806.26247245722
219,245691.9959968893
1161,136859.22988124134
650,83116.58214438024
888,148413.89055943553
577,142303.59629907363
1253,116473.48413319295
1062,104406.36727286236
568,199979.36002468097
1109,170367.64469439804
1114,133827.48024623137
169,191419.219016399
1103,127544.08916933816
1121,115875.15110468975
68,216854.479304903
1041,142547.18409036144
454,202313.92621914533
671,172012.34328519268
1095,129663.74784774087
193,197682.40099552413
124,153562.77008093175
416,190177.40766849119
278,108384.34649108315
434,174545.8396924878
1318,205957.93570727904
185,131676.61568843905
555,269258.5112531731
1174,195969.5026173325
77,115994.99679461854
907,249228.26144956352
675,146317.7228596035
1399,150091.85977025112
375,206440.52328248846
1033,334148.15875812434
260,109572.66750825287
52,125515.58630379033
245,231192.88821023836
1102,116242.23050307321
582,326551.0656400952
680,122661.16692887414
1133,124591.32456434882
1221,106228.97392225255
50,128068.70552939983
592,450177.69913553685
1270,135969.23535586658
1250,121507.13807298198
1139,198257.77469822683
491,114702.37012058741
1025,327611.51634897816
812,153583.75876142463
142,249111.0324391538
847,207623.63690028735
926,154750.58191629767
773,136756.78364335635
533,96257.49860307612
30,75787.05153087275
1300,163296.2984464309
66,311623.6181585607
766,252127.98210888996
1348,293650.3752579511
176,213757.939942113
395,115113.70958572772
620,316757.14353318675
1132,116896.82639877417
116,167127.14170381342
895,115116.53954506243
1222,122537.06408911708
428,110121.2208846159
737,81902.71657052505
899,504417.41700293
683,176971.029097898
991,300097.6722437795
719,308528.469935169
45,146899.32361454263
60,121209.55894636949
364,116301.31486846461
399,67897.8256882077
423,112746.21315742155
495,103033.33034037276
417,154280.85296820215
585,129513.1742141642
271,268407.72345492424
352,194283.2077861991
1079,141619.28609611362
1345,194179.1967107601
837,138147.2921753452
644,142295.68056669828
275,125833.49965112765
323,288675.74595957
79,117487.23626611293
923,178993.00015903392
276,162881.8449045422
1266,175645.4854013879
221,203783.187624024
317,262984.0182135453
1007,163137.07982338412
1241,206112.97666923603
71,294576.5617529428
16,134353.513238697
1165,202802.98862371608
1321,167969.82498049713
755,158292.26886146094
721,261150.97371511965
1048,141963.8637460562
629,187410.22873213392
637,52777.941028770445
465,115648.23393411981
856,143037.70935687813
1398,137690.41529760612
383,204383.14319484428
1429,114629.43632150808
789,106350.142314047
1341,118988.9971720407
1217,122270.92808750126
333,301851.8564593949
544,140946.9436980012
204,144220.1526959018
1135,180422.26941228745
1415,178719.54800708298
430,189629.69199199782
1273,129728.28409737545
747,226786.7326918181
590,99991.53788476331
839,149720.97413572102
1294,181631.6263702889
591,187527.01608011153
586,353435.8551078829
1202,196218.77157025674
199,121190.80624517985
917,68910.6336185804
995,341291.5101173377
1229,350620.26418050914
44,133726.44194497468
1034,231278.98460113222
692,801663.19942147
232,356119.1866437095
527,132412.67957856713
102,168643.58037861594
1093,161636.8260639599
412,131079.97846348974
1393,126023.77838570903
908,227175.73687432084
783,192341.98414158187
953,129942.4611520569
621,71743.7943059656
670,119311.08769030661
129,137606.22070150677
530,232402.09583829585
911,159314.08117084517
999,86749.45944384573
1451,126070.5994682794
1164,128638.92322852899
248,139955.73003591268
529,91433.89650573439
734,130494.99909077535
33,198125.51456100322
635,133454.93912899648
1028,298695.84644343524
1054,137910.9019893555
576,112639.8595040431
844,120036.43244213579
298,233818.99649530256
262,325058.9576749658
1047,470733.39513094816
940,227337.30919665843
310,371204.5911231125
164,96445.18871822202
1010,108562.05051984939
600,146827.10162523776
1176,319044.88313827745
372,109463.22182961635
240,126535.06065326056
882,206771.5206054594
1334,127638.50453297085
1359,162989.995722442
1157,196010.93196565803
813,96725.1412142888
1332,130622.66533100413
426,141397.0980588094
1055,261056.14048822937
64,139079.7541901708
818,271743.3775176357
1395,230191.18648472102
1307,199484.48489154154
916,88375.80764412734
433,114843.48129463132
694,103846.80860510268
967,143812.2693371311
1171,145731.88622776704
1043,190388.6919942533
608,183713.2452619968
1090,202573.67426686222
31,97091.64015567917
57,197331.58167060371
1179,124919.3330986173
452,229004.6838307797
559,202065.7748168279
366,127303.36263739674
424,316546.0302869242
959,194137.53541846643
807,133876.87048380834
1134,234417.9849389829
980,134159.46679246533
355,144018.8435290021
1357,111660.89396941906
307,233858.11599232053
797,141567.49590011136
100,113057.86593604217
756,163387.1830283479
272,199593.89667901694
241,253129.50707206558
598,210241.26233820507
947,139665.19267029574
359,113528.74114028648
985,122096.14372082334
778,130770.62977072422
708,218384.32877143793
599,215230.8711750339
875,95368.2920965401
931,217173.95486619274
340,146682.61424943642
1280,94356.76568509848
1433,104554.66412145607
1042,167591.15435173523
712,105886.60806690119
1050,101498.55804576867
311,168406.15072461928
572,115424.24067873541
918,135496.00858382994
603,226111.47251834645
290,137899.50632783995
429,191359.39695651858
1086,159385.5054332615
209,238507.5588088864
681,124938.44055240294
354,114175.05517062967
325,275500.648902098
238,218219.61876289136
59,497487.0357397674
1160,184449.5304643399
536,127388.85705146368
368,148580.87309326683
696,177441.68219442858
24,141097.06774521613
108,95846.3057879092
1431,191059.20659714582
1019,166703.58679327293
362,134855.58555845584
1002,89855.90050330255
539,134872.64940258267
1422,135104.96658358382
1178,114504.9895450064
1292,115482.11624857993
782,168459.93452746738
1448,261735.82570718936
